sol_wallet,eth_wallet,worm_balance,nema_balance
2tPN9KZf7JZW11BFC34aP3vrgn4YXdgfAjePL6EBUePg,0x496Ff5B6819Aea3C831aC177596a6D2Db47a671F,723533,707662
DWdGTWJv9kY4RzcXKbqhfQpYp9rpX1zfLFLgRPdKSF31,0xe0B03e87830219Ea34C543ca933EDdA883011b49,1716838,1679178
38M8TgeyMgWCGTRDWTnutp6AYvHpjxjzFGnFT3N2xyeB,0xC45D2aedb2fce5d76658d54B9C8C988f88c7c504,725046,709141
9kxn9sRDEcNpRZoFpAgPYobg1VDm9KF6qqzPD8hgKC2u,0xbce40d6e47a181f0b5f79092e6cf77999f2ad036,15404,15066
9LkCJogyhNy57u8fCSC8ERFM3eeKnyntJz2dwLZnNV1Y,0xbce40d6e47a181f0b5f79092e6cf77999f2ad036,28256,27636
HuSKtg82FNSoyTPF7YcTTiz2th6wMoSSwkvBSGCWwCe5,0xbce40d6e47a181f0b5f79092e6cf77999f2ad036,7367,7205
3rfBbfZgmg22cWts3CCjsZbFyjhGRrJ7bfX7Q5kZx2NP,0xbce40d6e47a181f0b5f79092e6cf77999f2ad036,22933,22430
FnAQxB7aTUBFVyjpQ69Jw554wFQcy66mqVef9YgBW2T8,0xbce40d6e47a181f0b5f79092e6cf77999f2ad036,85777,83895
f8cHrY62vEQkfA3TkJu7fntUCFvp7ZaHvELsSP4wwE2,0xbF6234990BfC9fc5eB41129B69B49bf95463C034,481380,470820
Ge5D1tW8VQXxm5vVJuRzwuoasrkf9ohRuXU7Nk9d1P3q,0x64b76f0dccd2afeb8f9cd6a08c053f9730327833,1300000,1271483
8yeTLjh5jkaR6t8d9K8bDQEBp1JLWUgWTYtqzHbgZDzB,0xFec3Ce686a5eeF236651173d8239137A6c39c5df,58486,57203
GPMfdsyytPdDsQb3tVNp5kz5669KY3xVedGrdos9wRwL,0xcF3cF5Db04e0A1C78CaCFe1065Cc9da88d2aa859,102092,99853
4ijF5a25ET676LQLD6P63Xyjv5veEYr3UgczVDZTsjPF,0xb9fefe9c94e896fd307bc7bebd159f63854298ef,74614,72977
FqXsj9gFcta5mJt94XFAzBQz23FiUghsj78isrAeuYJa,0x204641F21bBa03194F702562870dd56962eFF3D6,8230,8049
CGcge8JoLxZzzWs9NeyYHCnDPs8R9yK9V4bfUoLJXWMn,0x8d0D5583B79b314Bad8239A08B939752C2c29e5f,8696,8505
BEYCuGCMtvJhsydxHD7kNqrSdnea8k2kJ121zaTuqEAF,0x5e34ABE696fb6325E43e3494a50491931c3C0Aa1,4201207,4109050
FkMWqrRpB8BEBTXQptciMRA2EfWBBCjk7EE4G6swzujk,0x1bebca8ed18941719572be84eb5c8161594fbff8,5735,5609
A5M4BpoYsCC75pfZXAWvjJWzoRY3eJ64fQ1YeNmSLsCr,0x5445962f04777b8737d0b92182bda381ecf5646a,14335,14021
AmMUoTnqcGtYvtzFWRjSu4PeyxKmZEWhXNXpBAvAeGFN,0x2DB7d887e17507A5e25e2F05dA6DecfaCedD7389,10171,9948
xGqB9R1ErXbF85YMZMjDKUvHSfA1pT2Zsc5vUwt7ps1,0x2DB7d887e17507A5e25e2F05dA6DecfaCedD7389,5535,5414
AgTjgfyoCESHciyha7h7kLYNGRPnCSGXx8TV3U5Pvw41,0x2DB7d887e17507A5e25e2F05dA6DecfaCedD7389,6282,6144
EKoojzEebVpcwzhKwL8nN5CR3EKmHjuEjSLHrL1mQaJC,0x594a4591dee2d888a13293ef26d286742c7351f2,100101,97905
C5GJyYh2JiGD1esVAwAuvkgFd5p9oPqC21p9afHZ5Dqc,0xaf57f57c23a665b2df67b7a8e3959b110a537f2e,89158,87202
Djd1huiyhSWxL7bfKDtehaQ1a2cj5pQ9Xg3zdcjJ68H2,0x15edc722293e19dae7615f95e92b850f78e72622,99938,97746
82gpvshu3gAQGsR5KLXRLAPKjbCsRAgBjKsvifdAxh8Z,0x15edc722293e19dae7615f95e92b850f78e72622,24727,24185
Eytn1rDvMcLizd52JqQZUyrWPzRHsrMkr1hpu8gkNbiH,0xb83a8564a895e2ba3BEA1b124b48a7792a9Bf5aF,7831,7659
3LqB1AyzZGANmRX8XMhzG545D4wVwvp1CVKbLPJWpWNE,0xD1FfA4A97B7d159964D3BB1Efd9E61166f0662B2,55618,54398
7Ay8YCwS4cZeyAYAcUjszTVkjcaDHPpZyTdMqiLB9euX,0x99716276Fc98D2A58183c96cf8D87ebF84120dD5,139530,136469
Ak9avf6VDezSyFqZPbFyf1x4NoLbRQ52qoPXcRZdXvHZ,0xe2d5b174ca148cd48b7d9a1af11436c02d0efc52,373655,365459
3w9PPkn66Kdyqr5CFeBb3GEztqNn9DWxEfgcJmNiSJR1,0x487509b82131c74c63f35b064d2803f40aa99c8f,68248,66751
9yXesHQQstogzzi4BFQNLFEL6RB91JDRWZW7WvkPyMPb,0x2b6722ae9047f4de6e20aa2651c66d8221b87ed1,31869,31170
2nC8AWSmm8AZB3PZij9xKWydtQ1azW6P5aiLrgC64geB,0x36a9f136d16cf21d5dfff5ec2cb535a498a3ddec,44971,43985
D3nHM9Dx824rUphRXbauXhykzQY5UX3LfGi51NxWvX9J,0x05d00af4c2838eda243ccf3020519d72f5cb7f36,12775,12495
APKdaRYyyM3cqVpDgHx2TtP5d6Tu7Wg1V6kNc98WvK4X,0x27374d1Ad471879f9aF94B0120aa04BD875F3B88,229329,224298
DBCmCGcC9ws7S35QiRTmTrfQ83YLdzoRWiYRUtRqopzR,0x27374d1Ad471879f9aF94B0120aa04BD875F3B88,204910,200415
CVoeqq3yim3dc9fPjq3tRNiaDaUbV1hH9qPkfkTt5BeD,0x044cd2901fa9965fD59C1F54dC5dC895E3E91e84,106318,103986
6PvXffvHQfsmmNtc6bJtgG85umra2McLmtCKmnCgnhHN,0xD51381206bc76BD0928F6Eeaad8477A8c569d93A,54212,53023
3adXoaUY5x9QyUDQ63WPPmS3ihX7NGPfSVKbLLKBBGQN,0x7BAd76470eABCE53d19f7B7dcDBEFD0178BE343e,1030200,1007602
44auYtUSUaGLXgRw6vTEMEB8xDxx97LFDQsSYrZ16saA,0x8f40068087524aE51549D00130eFb39E90eE20F3,602032,588826
8Y3w1ByfMfYXHQesaRXqW63ySfTr1JAhMHyKo4zGgtwM,0xfCf17359853F651355ea6D0d8EE2eb006f2e6210,182842,178831
81hJmuKMt5ApnHo6YDUzUhY7kjE7JaL2xf36pEm5zJxF,0x64b76f0dccd2afeb8f9cd6a08c053f9730327833,38351,37510
7ujGkETAU5jJ2kqwWsGUZ71oy3PWH55pofuyi2Qpkspe,0x0CC94dBADaF555aD589d3135874F87E8FD068dF6,67645,66161
3TQz6Av2xVu7wtiQEkaq3T66y91ayFco1wsZwRWokr9f,0x2432beFA95D7fDc14c6c19EA930BEB288385b752,10203,9979
8Pv2p5nXEfFjrNwKU9BZmBFzCsPVaJv9KVqozRDPk9ea,0x5D3E03eC2b69bB9ebB144Dd3565e2E136C3Ef033,79735,77986
